lambda,beta,frac_campo,ion
1504.201681,13158002.55,0.141812091,3
1504.201681,13158380.72,0.141860569,3
1504.201681,13158759.42,0.14190909,3
1504.201681,13159138.67,0.141957653,3
1504.201681,13159518.45,0.142006259,3
1504.201681,13159898.77,0.142054907,3
1504.201681,13160279.62,0.142103598,3
1504.201681,13160661.02,0.142152331,3
1504.201681,13161042.96,0.142201106,3
1504.201681,13161425.43,0.142249924,3
1504.201681,13161808.45,0.142298783,3
1504.201681,13162192.01,0.142347685,3
1504.201681,13162576.11,0.142396628,3
1504.201681,13162960.75,0.142445614,3
1504.201681,13163345.93,0.142494641,3
1504.201681,13163731.65,0.14254371,3
1504.201681,13164117.92,0.142592821,3
1504.201681,13164504.73,0.142641973,3
1504.201681,13164892.09,0.142691167,3
1504.201681,13165279.98,0.142740402,3
1504.201681,13165668.43,0.142789679,3
1504.201681,13166057.41,0.142838997,3
1504.201681,13166446.94,0.142888356,3
1504.201681,13166837.02,0.142937756,3
1504.201681,13167227.64,0.142987198,3
1504.201681,13167618.81,0.14303668,3
1504.201681,13168010.53,0.143086203,3
1504.201681,13168402.79,0.143135767,3
1504.201681,13168795.6,0.143185372,3
1504.201681,13169188.96,0.143235018,3
1504.201681,13169582.86,0.143284704,3
1504.201681,13169977.32,0.14333443,3
1504.201681,13170372.32,0.143384197,3
1504.201681,13170767.87,0.143434005,3
1504.201681,13171163.97,0.143483853,3
1504.201681,13171560.63,0.143533741,3
1504.201681,13171957.83,0.143583669,3
1504.201681,13172355.58,0.143633637,3
1504.201681,13172753.88,0.143683645,3
1504.201681,13173152.74,0.143733693,3
1504.201681,13173552.15,0.14378378,3
1504.201681,13173952.11,0.143833908,3
1504.201681,13174352.62,0.143884075,3
1504.201681,13174753.69,0.143934281,3
1504.201681,13175155.31,0.143984527,3
1504.201681,13175557.48,0.144034813,3
1508.403361,13095043.42,0.140707028,3
1508.403361,13095395.8,0.140753092,3
1508.403361,13095748.7,0.140799201,3
1508.403361,13096102.13,0.140845356,3
1508.403361,13096456.07,0.140891555,3
1508.403361,13096810.53,0.1409378,3
1508.403361,13097165.52,0.14098409,3
1508.403361,13097521.02,0.141030424,3
1508.403361,13097877.05,0.141076804,3
1508.403361,13098233.6,0.141123229,3
1508.403361,13098590.68,0.141169698,3
1508.403361,13098948.27,0.141216212,3
1508.403361,13099306.39,0.141262771,3
1508.403361,13099665.04,0.141309374,3
1508.403361,13100024.2,0.141356022,3
1508.403361,13100383.9,0.141402715,3
1508.403361,13100744.11,0.141449452,3
1508.403361,13101104.86,0.141496233,3
1508.403361,13101466.12,0.141543059,3
1508.403361,13101827.92,0.141589929,3
1508.403361,13102190.24,0.141636843,3
1508.403361,13102553.09,0.141683801,3
1508.403361,13102916.46,0.141730804,3
1508.403361,13103280.36,0.14177785,3
1508.403361,13103644.79,0.14182494,3
1508.403361,13104009.75,0.141872074,3
1508.403361,13104375.24,0.141919252,3
1508.403361,13104741.26,0.141966474,3
1508.403361,13105107.8,0.142013739,3
1508.403361,13105474.88,0.142061048,3
1508.403361,13105842.48,0.142108401,3
1508.403361,13106210.62,0.142155797,3
1508.403361,13106579.29,0.142203236,3
1508.403361,13106948.48,0.142250719,3
1508.403361,13107318.21,0.142298245,3
1508.403361,13107688.48,0.142345814,3
1508.403361,13108059.27,0.142393427,3
1508.403361,13108430.6,0.142441082,3
1508.403361,13108802.46,0.14248878,3
1508.403361,13109174.85,0.142536522,3
