lambda,beta,frac_campo,ion
1500,13181929.73,0.137820574,2
1500,13181655.55,0.137784159,2
1500,13181381.7,0.137747773,2
1500,13181108.17,0.137711416,2
1500,13180834.95,0.137675089,2
1500,13180562.06,0.137638791,2
1500,13180289.49,0.137602523,2
1500,13180017.24,0.137566284,2
1500,13179745.31,0.137530075,2
1500,13179473.7,0.137493895,2
1500,13179202.4,0.137457745,2
1500,13178931.43,0.137421625,2
1500,13178660.78,0.137385534,2
1500,13178390.44,0.137349473,2
1500,13178120.43,0.137313442,2
1500,13177850.73,0.13727744,2
1500,13177581.35,0.137241468,2
1500,13177312.29,0.137205526,2
1500,13177043.55,0.137169613,2
1500,13176775.13,0.137133731,2
1500,13176507.02,0.137097878,2
1500,13176239.23,0.137062055,2
1500,13175971.76,0.137026262,2
1500,13175704.61,0.136990499,2
1500,13175437.77,0.136954766,2
1500,13175171.25,0.136919063,2
1500,13174905.05,0.136883389,2
1500,13174639.16,0.136847746,2
1500,13174373.59,0.136812133,2
1500,13174108.34,0.13677655,2
1500,13173843.4,0.136740997,2
1500,13173578.78,0.136705474,2
1500,13173314.47,0.136669981,2
1500,13173050.48,0.136634518,2
1500,13172786.8,0.136599086,2
1500,13172523.44,0.136563683,2
1500,13172260.39,0.136528311,2
1500,13171997.66,0.136492969,2
1500,13171735.24,0.136457658,2
1500,13171473.14,0.136422376,2
1500,13171211.35,0.136387125,2
1500,13170949.87,0.136351904,2
1500,13170688.71,0.136316714,2
1500,13170427.86,0.136281554,2
1500,13170167.33,0.136246424,2
1500,13169907.11,0.136211325,2
1500,13169647.2,0.136176256,2
1500,13169387.6,0.136141218,2
1500,13169128.32,0.13610621,2
1500,13168869.35,0.136071233,2
1500,13168610.69,0.136036286,2
1500,13168352.34,0.13600137,2
1500,13168094.31,0.135966484,2
1500,13167836.58,0.135931629,2
1500,13167579.17,0.135896804,2
1500,13167322.07,0.135862011,2
1500,13167065.29,0.135827247,2
1500,13166808.81,0.135792515,2
1500,13166552.64,0.135757813,2
1500,13166296.78,0.135723142,2
1500,13166041.24,0.135688501,2
1500,13165786,0.135653892,2
1500,13165531.08,0.135619313,2
1500,13165276.46,0.135584765,2
1500,13165022.16,0.135550247,2
1500,13164768.16,0.135515761,2
1500,13164514.47,0.135481305,2
1500,13164261.1,0.135446881,2
1500,13164008.03,0.135412487,2
1500,13163755.27,0.135378124,2
1500,13163502.82,0.135343792,2
1500,13163250.67,0.135309491,2
1500,13162998.84,0.135275221,2
1500,13162747.31,0.135240982,2
1500,13162496.1,0.135206774,2
1500,13162245.19,0.135172597,2
1500,13161994.58,0.135138451,2
1500,13161744.29,0.135104336,2
1500,13161494.3,0.135070252,2
1500,13161244.62,0.135036199,2
1500,13160995.24,0.135002178,2
1500,13160746.18,0.134968187,2
1500,13160497.42,0.134934228,2
1500,13160248.96,0.1349003,2
1500,13160000.81,0.134866403,2
1500,13159752.97,0.134832538,2
1500,13159505.44,0.134798703,2
1500,13159258.2,0.1347649,2
1500,13159011.28,0.134731128,2
1500,13158764.66,0.134697388,2
1500,13158518.34,0.134663679,2
1500,13158272.33,0.134630001,2
1500,13158026.63,0.134596354,2
1500,13157781.23,0.134562739,2
1500,13157536.13,0.134529155,2
1500,13157291.34,0.134495603,2
1500,13157046.85,0.134462082,2
1500,13156802.67,0.134428592,2
1500,13156558.79,0.134395134,2
1500,13156315.21,0.134361708,2
1504.201681,13138368.78,0.139259523,2
1504.201681,13138092.51,0.139223109,2
1504.201681,13137816.57,0.139186724,2
1504.201681,13137540.94,0.139150368,2
1504.201681,13137265.64,0.139114041,2
1504.201681,13136990.66,0.139077743,2
1504.201681,13136716.01,0.139041474,2
1504.201681,13136441.67,0.139005234,2
1504.201681,13136167.66,0.138969023,2
1504.201681,13135893.97,0.138932841,2
1504.201681,13135620.6,0.138896688,2
1504.201681,13135347.55,0.138860565,2
1504.201681,13135074.82,0.13882447,2
1504.201681,13134802.41,0.138788405,2
1504.201681,13134530.33,0.138752369,2
1504.201681,13134258.56,0.138716362,2
1504.201681,13133987.12,0.138680385,2
1504.201681,13133715.99,0.138644436,2
1504.201681,13133445.19,0.138608517,2
1504.201681,13133174.7,0.138572628,2
1504.201681,13132904.54,0.138536768,2
1504.201681,13132634.69,0.138500937,2
1504.201681,13132365.17,0.138465136,2
1504.201681,13132095.96,0.138429364,2
1504.201681,13131827.07,0.138393622,2
1504.201681,13131558.5,0.138357909,2
1504.201681,13131290.25,0.138322226,2
1504.201681,13131022.32,0.138286572,2
1504.201681,13130754.7,0.138250948,2
1504.201681,13130487.4,0.138215353,2
1504.201681,13130220.42,0.138179788,2
1504.201681,13129953.76,0.138144253,2
1504.201681,13129687.42,0.138108748,2
1504.201681,13129421.39,0.138073272,2
1504.201681,13129155.68,0.138037826,2
1504.201681,13128890.29,0.138002409,2
1504.201681,13128625.21,0.137967023,2
1504.201681,13128360.45,0.137931666,2
1504.201681,13128096.01,0.137896339,2
1504.201681,13127831.88,0.137861042,2
1504.201681,13127568.07,0.137825775,2
1504.201681,13127304.57,0.137790538,2
1504.201681,13127041.39,0.13775533,2
1504.201681,13126778.53,0.137720153,2
1504.201681,13126515.98,0.137685005,2
1504.201681,13126253.75,0.137649888,2
1504.201681,13125991.83,0.137614801,2
1504.201681,13125730.22,0.137579743,2
1504.201681,13125468.93,0.137544716,2
1504.201681,13125207.96,0.137509719,2
1504.201681,13124947.3,0.137474752,2
1504.201681,13124686.95,0.137439815,2
1504.201681,13124426.91,0.137404908,2
1504.201681,13124167.19,0.137370031,2
1504.201681,13123907.79,0.137335185,2
1504.201681,13123648.69,0.137300369,2
1504.201681,13123389.91,0.137265583,2
1504.201681,13123131.45,0.137230827,2
1504.201681,13122873.29,0.137196102,2
1504.201681,13122615.45,0.137161407,2
1504.201681,13122357.92,0.137126742,2
1504.201681,13122100.7,0.137092107,2
1504.201681,13121843.8,0.137057503,2
1504.201681,13121587.2,0.13702293,2
1504.201681,13121330.92,0.136988387,2
1504.201681,13121074.95,0.136953874,2
1504.201681,13120819.29,0.136919392,2
1504.201681,13120563.94,0.13688494,2
1504.201681,13120308.91,0.136850519,2
1504.201681,13120054.18,0.136816128,2
1504.201681,13119799.76,0.136781768,2
1504.201681,13119545.66,0.136747438,2
1504.201681,13119291.86,0.136713139,2
1504.201681,13119038.38,0.136678871,2
