lambda,beta,frac_campo,ion
1500,13181929.73,0.137820574,1
1500,13182049.66,0.137836499,1
1500,13182169.65,0.13785243,1
1500,13182289.71,0.137868366,1
1500,13182409.82,0.137884308,1
1500,13182530,0.137900255,1
1500,13182650.24,0.137916208,1
1500,13182770.54,0.137932167,1
1500,13182890.9,0.137948131,1
1500,13183011.33,0.137964101,1
1500,13183131.81,0.137980076,1
1500,13183252.36,0.137996057,1
1500,13183372.97,0.138012044,1
1500,13183493.64,0.138028036,1
1500,13183614.37,0.138044034,1
1500,13183735.16,0.138060037,1
1500,13183856.02,0.138076046,1
1500,13183976.93,0.13809206,1
1500,13184097.91,0.13810808,1
1500,13184218.95,0.138124106,1
1500,13184340.05,0.138140137,1
1500,13184461.21,0.138156174,1
1500,13184582.44,0.138172216,1
1500,13184703.73,0.138188264,1
1500,13184825.07,0.138204317,1
1500,13184946.48,0.138220376,1
1500,13185067.95,0.13823644,1
1500,13185189.49,0.13825251,1
1500,13185311.08,0.138268586,1
1500,13185432.74,0.138284667,1
1500,13185554.46,0.138300754,1
1500,13185676.24,0.138316846,1
1500,13185798.08,0.138332944,1
1500,13185919.99,0.138349047,1
1500,13186041.95,0.138365156,1
1500,13186163.98,0.13838127,1
1500,13186286.07,0.13839739,1
1500,13186408.22,0.138413516,1
1500,13186530.44,0.138429647,1
1500,13186652.71,0.138445783,1
1500,13186775.05,0.138461925,1
1500,13186897.45,0.138478073,1
1500,13187019.91,0.138494226,1
1500,13187142.43,0.138510384,1
1500,13187265.02,0.138526548,1
1500,13187387.67,0.138542718,1
1500,13187510.38,0.138558893,1
1500,13187633.15,0.138575073,1
1500,13187755.98,0.138591259,1
1500,13187878.88,0.138607451,1
1500,13188001.84,0.138623648,1
1500,13188124.86,0.138639851,1
1500,13188247.94,0.138656059,1
1500,13188371.09,0.138672272,1
1500,13188494.29,0.138688491,1
1500,13188617.56,0.138704716,1
1500,13188740.9,0.138720946,1
1500,13188864.29,0.138737181,1
1500,13188987.75,0.138753422,1
1500,13189111.26,0.138769669,1
1500,13189234.85,0.138785921,1
1500,13189358.49,0.138802178,1
1500,13189482.19,0.138818441,1
1500,13189605.96,0.138834709,1
1500,13189729.79,0.138850983,1
1500,13189853.68,0.138867262,1
1500,13189977.64,0.138883547,1
1500,13190101.66,0.138899837,1
1500,13190225.74,0.138916133,1
1500,13190349.88,0.138932434,1
1500,13190474.08,0.13894874,1
1500,13190598.35,0.138965052,1
1500,13190722.68,0.13898137,1
1500,13190847.07,0.138997693,1
1500,13190971.53,0.139014021,1
1500,13191096.04,0.139030355,1
1500,13191220.62,0.139046694,1
1500,13191345.26,0.139063038,1
1500,13191469.97,0.139079388,1
1500,13191594.74,0.139095744,1
1500,13191719.57,0.139112105,1
1500,13191844.46,0.139128471,1
1500,13191969.41,0.139144843,1
1500,13192094.43,0.13916122,1
1500,13192219.51,0.139177602,1
1500,13192344.66,0.13919399,1
1500,13192469.86,0.139210384,1
1500,13192595.13,0.139226783,1
1500,13192720.46,0.139243187,1
1500,13192845.86,0.139259596,1
1500,13192971.31,0.139276011,1
1500,13193096.83,0.139292432,1
1500,13193222.41,0.139308858,1
1500,13193348.06,0.139325289,1
1500,13193473.77,0.139341725,1
1500,13193599.54,0.139358167,1
1500,13193725.37,0.139374615,1
1500,13193851.27,0.139391068,1
1500,13193977.23,0.139407526,1
1500,13194103.25,0.139423989,1
1504.201681,13138368.78,0.139259523,1
1504.201681,13138489.63,0.139275447,1
1504.201681,13138610.54,0.139291377,1
1504.201681,13138731.51,0.139307312,1
1504.201681,13138852.55,0.139323253,1
1504.201681,13138973.64,0.139339199,1
1504.201681,13139094.8,0.139355151,1
1504.201681,13139216.02,0.139371108,1
1504.201681,13139337.3,0.139387071,1
1504.201681,13139458.64,0.139403039,1
1504.201681,13139580.04,0.139419013,1
1504.201681,13139701.51,0.139434992,1
1504.201681,13139823.04,0.139450977,1
1504.201681,13139944.63,0.139466967,1
1504.201681,13140066.28,0.139482963,1
1504.201681,13140187.99,0.139498964,1
1504.201681,13140309.77,0.13951497,1
1504.201681,13140431.61,0.139530983,1
1504.201681,13140553.51,0.139547,1
1504.201681,13140675.47,0.139563023,1
1504.201681,13140797.49,0.139579052,1
1504.201681,13140919.58,0.139595086,1
1504.201681,13141041.73,0.139611125,1
1504.201681,13141163.94,0.13962717,1
1504.201681,13141286.21,0.139643221,1
1504.201681,13141408.54,0.139659277,1
1504.201681,13141530.94,0.139675338,1
1504.201681,13141653.4,0.139691405,1
1504.201681,13141775.92,0.139707477,1
1504.201681,13141898.5,0.139723555,1
1504.201681,13142021.15,0.139739638,1
1504.201681,13142143.85,0.139755726,1
1504.201681,13142266.62,0.13977182,1
1504.201681,13142389.45,0.13978792,1
1504.201681,13142512.35,0.139804025,1
1504.201681,13142635.3,0.139820135,1
1504.201681,13142758.32,0.139836251,1
1504.201681,13142881.4,0.139852372,1
1504.201681,13143004.54,0.139868499,1
1504.201681,13143127.75,0.139884631,1
1504.201681,13143251.02,0.139900768,1
1504.201681,13143374.35,0.139916911,1
1504.201681,13143497.74,0.139933059,1
1504.201681,13143621.19,0.139949213,1
1504.201681,13143744.71,0.139965372,1
1504.201681,13143868.29,0.139981537,1
1504.201681,13143991.93,0.139997707,1
1504.201681,13144115.63,0.140013882,1
1504.201681,13144239.4,0.140030063,1
1504.201681,13144363.23,0.140046249,1
1504.201681,13144487.12,0.140062441,1
1504.201681,13144611.08,0.140078638,1
1504.201681,13144735.09,0.14009484,1
1504.201681,13144859.17,0.140111048,1
1504.201681,13144983.31,0.140127261,1
1504.201681,13145107.52,0.140143479,1
1504.201681,13145231.78,0.140159703,1
1504.201681,13145356.11,0.140175933,1
1504.201681,13145480.51,0.140192167,1
1504.201681,13145604.96,0.140208407,1
1504.201681,13145729.48,0.140224653,1
1504.201681,13145854.06,0.140240904,1
1504.201681,13145978.7,0.14025716,1
1504.201681,13146103.41,0.140273421,1
1504.201681,13146228.17,0.140289688,1
1504.201681,13146353,0.14030596,1
1504.201681,13146477.9,0.140322238,1
1504.201681,13146602.85,0.140338521,1
1504.201681,13146727.87,0.140354809,1
1504.201681,13146852.95,0.140371103,1
1504.201681,13146978.1,0.140387402,1
1504.201681,13147103.31,0.140403706,1
1504.201681,13147228.58,0.140420016,1
1504.201681,13147353.91,0.140436331,1
1504.201681,13147479.31,0.140452652,1
1504.201681,13147604.76,0.140468977,1
1504.201681,13147730.29,0.140485308,1
1504.201681,13147855.87,0.140501645,1
1504.201681,13147981.52,0.140517987,1
1504.201681,13148107.23,0.140534334,1
1504.201681,13148233,0.140550686,1
1504.201681,13148358.84,0.140567044,1
1504.201681,13148484.74,0.140583407,1
1504.201681,13148610.7,0.140599775,1
1504.201681,13148736.72,0.140616149,1
1504.201681,13148862.81,0.140632528,1
1504.201681,13148988.96,0.140648912,1
1504.201681,13149115.18,0.140665301,1
1504.201681,13149241.46,0.140681696,1
1504.201681,13149367.8,0.140698096,1
1504.201681,13149494.2,0.140714502,1
1504.201681,13149620.67,0.140730913,1
1504.201681,13149747.2,0.140747329,1
1504.201681,13149873.79,0.14076375,1
1504.201681,13150000.45,0.140780177,1
1504.201681,13150127.17,0.140796609,1
1504.201681,13150253.95,0.140813046,1
1504.201681,13150380.8,0.140829488,1
1504.201681,13150507.7,0.140845936,1
1504.201681,13150634.68,0.140862389,1
1508.403361,13095043.42,0.140707028,1
1508.403361,13095165.19,0.140722949,1
1508.403361,13095287.02,0.140738874,1
1508.403361,13095408.91,0.140754805,1
1508.403361,13095530.87,0.140770742,1
1508.403361,13095652.88,0.140786684,1
1508.403361,13095774.96,0.140802631,1
1508.403361,13095897.1,0.140818584,1
1508.403361,13096019.3,0.140834542,1
1508.403361,13096141.57,0.140850505,1
1508.403361,13096263.9,0.140866474,1
1508.403361,13096386.29,0.140882448,1
1508.403361,13096508.74,0.140898428,1
1508.403361,13096631.25,0.140914413,1
1508.403361,13096753.83,0.140930404,1
1508.403361,13096876.47,0.1409464,1
1508.403361,13096999.17,0.140962401,1
1508.403361,13097121.93,0.140978407,1
1508.403361,13097244.76,0.140994419,1
1508.403361,13097367.65,0.141010437,1
1508.403361,13097490.6,0.14102646,1
1508.403361,13097613.61,0.141042488,1
1508.403361,13097736.68,0.141058521,1
1508.403361,13097859.82,0.14107456,1
1508.403361,13097983.02,0.141090604,1
1508.403361,13098106.29,0.141106654,1
1508.403361,13098229.61,0.141122709,1
1508.403361,13098353,0.141138769,1
1508.403361,13098476.45,0.141154835,1
1508.403361,13098599.96,0.141170906,1
1508.403361,13098723.53,0.141186982,1
1508.403361,13098847.17,0.141203064,1
1508.403361,13098970.87,0.141219151,1
1508.403361,13099094.63,0.141235243,1
1508.403361,13099218.46,0.141251341,1
1508.403361,13099342.35,0.141267444,1
1508.403361,13099466.3,0.141283553,1
1508.403361,13099590.31,0.141299666,1
1508.403361,13099714.39,0.141315785,1
1508.403361,13099838.53,0.14133191,1
1508.403361,13099962.73,0.14134804,1
1508.403361,13100086.99,0.141364175,1
1508.403361,13100211.32,0.141380315,1
1508.403361,13100335.71,0.141396461,1
1508.403361,13100460.16,0.141412612,1
1508.403361,13100584.67,0.141428768,1
1508.403361,13100709.25,0.14144493,1
1508.403361,13100833.89,0.141461096,1
1508.403361,13100958.59,0.141477269,1
1508.403361,13101083.36,0.141493446,1
1508.403361,13101208.19,0.141509629,1
1508.403361,13101333.08,0.141525817,1
1508.403361,13101458.03,0.14154201,1
1508.403361,13101583.05,0.141558209,1
1508.403361,13101708.13,0.141574413,1
1508.403361,13101833.27,0.141590622,1
1508.403361,13101958.48,0.141606837,1
1508.403361,13102083.75,0.141623057,1
1508.403361,13102209.08,0.141639282,1
1508.403361,13102334.47,0.141655512,1
1508.403361,13102459.93,0.141671748,1
1508.403361,13102585.45,0.141687989,1
1508.403361,13102711.04,0.141704235,1
1508.403361,13102836.68,0.141720486,1
1508.403361,13102962.39,0.141736743,1
1508.403361,13103088.17,0.141753005,1
1508.403361,13103214,0.141769272,1
1508.403361,13103339.9,0.141785545,1
1508.403361,13103465.86,0.141801823,1
1508.403361,13103591.89,0.141818106,1
1508.403361,13103717.98,0.141834394,1
1508.403361,13103844.13,0.141850687,1
1508.403361,13103970.34,0.141866986,1
1508.403361,13104096.62,0.14188329,1
1508.403361,13104222.96,0.141899599,1
1508.403361,13104349.37,0.141915913,1
1508.403361,13104475.83,0.141932233,1
1508.403361,13104602.36,0.141948558,1
1508.403361,13104728.96,0.141964888,1
1508.403361,13104855.62,0.141981223,1
1508.403361,13104982.34,0.141997564,1
1508.403361,13105109.12,0.14201391,1
1508.403361,13105235.97,0.14203026,1
1508.403361,13105362.88,0.142046617,1
1508.403361,13105489.85,0.142062978,1
1508.403361,13105616.89,0.142079345,1
1508.403361,13105743.99,0.142095716,1
1508.403361,13105871.16,0.142112093,1
1508.403361,13105998.38,0.142128475,1
1508.403361,13106125.67,0.142144863,1
1508.403361,13106253.03,0.142161255,1
1508.403361,13106380.45,0.142177653,1
1508.403361,13106507.93,0.142194056,1
1508.403361,13106635.47,0.142210464,1
1508.403361,13106763.08,0.142226877,1
1508.403361,13106890.75,0.142243296,1
1508.403361,13107018.49,0.142259719,1
1508.403361,13107146.29,0.142276148,1
1508.403361,13107274.15,0.142292582,1
1508.403361,13107402.08,0.142309021,1
1512.605042,13051951.78,0.142163058,1
1512.605042,13052074.47,0.142178971,1
1512.605042,13052197.22,0.14219489,1
1512.605042,13052320.04,0.142210813,1
1512.605042,13052442.92,0.142226742,1
1512.605042,13052565.86,0.142242677,1
1512.605042,13052688.87,0.142258616,1
1512.605042,13052811.93,0.142274561,1
1512.605042,13052935.06,0.142290512,1
1512.605042,13053058.26,0.142306467,1
1512.605042,13053181.51,0.142322428,1
1512.605042,13053304.83,0.142338394,1
1512.605042,13053428.21,0.142354366,1
1512.605042,13053551.65,0.142370342,1
1512.605042,13053675.15,0.142386324,1
1512.605042,13053798.72,0.142402312,1
1512.605042,13053922.35,0.142418304,1
1512.605042,13054046.05,0.142434302,1
1512.605042,13054169.8,0.142450306,1
1512.605042,13054293.62,0.142466314,1
1512.605042,13054417.5,0.142482328,1
1512.605042,13054541.44,0.142498347,1
1512.605042,13054665.45,0.142514371,1
1512.605042,13054789.52,0.142530401,1
1512.605042,13054913.65,0.142546435,1
1512.605042,13055037.85,0.142562475,1
1512.605042,13055162.1,0.142578521,1
1512.605042,13055286.42,0.142594571,1
1512.605042,13055410.81,0.142610627,1
1512.605042,13055535.25,0.142626688,1
1512.605042,13055659.76,0.142642755,1
1512.605042,13055784.34,0.142658826,1
1512.605042,13055908.97,0.142674903,1
1512.605042,13056033.67,0.142690985,1
1512.605042,13056158.43,0.142707072,1
1512.605042,13056283.25,0.142723165,1
1512.605042,13056408.14,0.142739263,1
1512.605042,13056533.09,0.142755366,1
1512.605042,13056658.1,0.142771474,1
1512.605042,13056783.18,0.142787587,1
1512.605042,13056908.31,0.142803706,1
1512.605042,13057033.52,0.14281983,1
1512.605042,13057158.78,0.142835959,1
1512.605042,13057284.11,0.142852093,1
1512.605042,13057409.5,0.142868233,1
1512.605042,13057534.95,0.142884378,1
1512.605042,13057660.47,0.142900528,1
1512.605042,13057786.05,0.142916683,1
1512.605042,13057911.69,0.142932843,1
1512.605042,13058037.4,0.142949009,1
1512.605042,13058163.17,0.14296518,1
1512.605042,13058289,0.142981355,1
1512.605042,13058414.9,0.142997537,1
1512.605042,13058540.86,0.143013723,1
1512.605042,13058666.88,0.143029914,1
1512.605042,13058792.96,0.143046111,1
1512.605042,13058919.11,0.143062313,1
1512.605042,13059045.33,0.14307852,1
1512.605042,13059171.6,0.143094732,1
1512.605042,13059297.94,0.143110949,1
1512.605042,13059424.34,0.143127172,1
1512.605042,13059550.81,0.1431434,1
1512.605042,13059677.34,0.143159633,1
1512.605042,13059803.93,0.143175871,1
1512.605042,13059930.58,0.143192114,1
1512.605042,13060057.3,0.143208362,1
1512.605042,13060184.09,0.143224615,1
1512.605042,13060310.93,0.143240874,1
1512.605042,13060437.84,0.143257138,1
1512.605042,13060564.81,0.143273407,1
1512.605042,13060691.85,0.143289681,1
1512.605042,13060818.95,0.14330596,1
1512.605042,13060946.11,0.143322244,1
1512.605042,13061073.34,0.143338534,1
1512.605042,13061200.63,0.143354828,1
1512.605042,13061327.98,0.143371128,1
1512.605042,13061455.4,0.143387433,1
1512.605042,13061582.88,0.143403743,1
1512.605042,13061710.43,0.143420058,1
1512.605042,13061838.04,0.143436378,1
1512.605042,13061965.71,0.143452703,1
1512.605042,13062093.44,0.143469034,1
1512.605042,13062221.24,0.143485369,1
1512.605042,13062349.11,0.14350171,1
1512.605042,13062477.03,0.143518055,1
1512.605042,13062605.02,0.143534406,1
1512.605042,13062733.08,0.143550762,1
1512.605042,13062861.19,0.143567123,1
1512.605042,13062989.38,0.143583489,1
1512.605042,13063117.62,0.14359986,1
1512.605042,13063245.93,0.143616236,1
1512.605042,13063374.3,0.143632617,1
1512.605042,13063502.74,0.143649004,1
1512.605042,13063631.24,0.143665395,1
1512.605042,13063759.8,0.143681792,1
1512.605042,13063888.43,0.143698193,1
1512.605042,13064017.13,0.1437146,1
1512.605042,13064145.88,0.143731012,1
1512.605042,13064274.7,0.143747428,1
1512.605042,13064403.59,0.14376385,1
1516.806723,13009092.01,0.14362758,1
1516.806723,13009215.63,0.143643483,1
1516.806723,13009339.32,0.143659391,1
1516.806723,13009463.06,0.143675304,1
1516.806723,13009586.87,0.143691222,1
1516.806723,13009710.74,0.143707146,1
1516.806723,13009834.67,0.143723074,1
1516.806723,13009958.67,0.143739008,1
1516.806723,13010082.73,0.143754948,1
1516.806723,13010206.85,0.143770892,1
1516.806723,13010331.04,0.143786842,1
1516.806723,13010455.29,0.143802796,1
1516.806723,13010579.6,0.143818756,1
1516.806723,13010703.97,0.143834722,1
1516.806723,13010828.41,0.143850692,1
1516.806723,13010952.91,0.143866667,1
1516.806723,13011077.48,0.143882648,1
1516.806723,13011202.1,0.143898634,1
1516.806723,13011326.79,0.143914625,1
1516.806723,13011451.54,0.143930621,1
1516.806723,13011576.36,0.143946623,1
1516.806723,13011701.24,0.143962629,1
1516.806723,13011826.18,0.143978641,1
1516.806723,13011951.19,0.143994658,1
1516.806723,13012076.25,0.14401068,1
1516.806723,13012201.38,0.144026708,1
1516.806723,13012326.58,0.14404274,1
1516.806723,13012451.84,0.144058778,1
1516.806723,13012577.16,0.14407482,1
1516.806723,13012702.54,0.144090868,1
1516.806723,13012827.99,0.144106921,1
1516.806723,13012953.5,0.144122979,1
1516.806723,13013079.07,0.144139043,1
1516.806723,13013204.71,0.144155111,1
1516.806723,13013330.41,0.144171185,1
1516.806723,13013456.17,0.144187263,1
1516.806723,13013582,0.144203347,1
1516.806723,13013707.89,0.144219436,1
1516.806723,13013833.84,0.14423553,1
1516.806723,13013959.86,0.144251629,1
1516.806723,13014085.94,0.144267734,1
1516.806723,13014212.08,0.144283843,1
1516.806723,13014338.29,0.144299957,1
1516.806723,13014464.56,0.144316077,1
1516.806723,13014590.89,0.144332202,1
1516.806723,13014717.29,0.144348332,1
1516.806723,13014843.75,0.144364467,1
1516.806723,13014970.27,0.144380607,1
1516.806723,13015096.86,0.144396752,1
1516.806723,13015223.51,0.144412902,1
1516.806723,13015350.23,0.144429057,1
1516.806723,13015477,0.144445218,1
1516.806723,13015603.85,0.144461383,1
1516.806723,13015730.75,0.144477554,1
1516.806723,13015857.72,0.144493729,1
1516.806723,13015984.75,0.14450991,1
1516.806723,13016111.85,0.144526096,1
1516.806723,13016239.01,0.144542287,1
1516.806723,13016366.23,0.144558482,1
1516.806723,13016493.52,0.144574683,1
1516.806723,13016620.87,0.144590889,1
1516.806723,13016748.28,0.144607101,1
1516.806723,13016875.76,0.144623317,1
1516.806723,13017003.3,0.144639538,1
1516.806723,13017130.91,0.144655764,1
1516.806723,13017258.58,0.144671995,1
1516.806723,13017386.31,0.144688232,1
1516.806723,13017514.11,0.144704473,1
1516.806723,13017641.97,0.144720719,1
1516.806723,13017769.89,0.144736971,1
1516.806723,13017897.88,0.144753227,1
1516.806723,13018025.93,0.144769489,1
1516.806723,13018154.05,0.144785755,1
1516.806723,13018282.22,0.144802027,1
1516.806723,13018410.47,0.144818303,1
1516.806723,13018538.78,0.144834585,1
1516.806723,13018667.15,0.144850871,1
1516.806723,13018795.58,0.144867163,1
1516.806723,13018924.08,0.144883459,1
1516.806723,13019052.64,0.144899761,1
1516.806723,13019181.27,0.144916068,1
1516.806723,13019309.96,0.144932379,1
1516.806723,13019438.72,0.144948696,1
1516.806723,13019567.54,0.144965017,1
1516.806723,13019696.42,0.144981344,1
1516.806723,13019825.37,0.144997675,1
1516.806723,13019954.38,0.145014012,1
