lambda,beta,frac_campo,ion
1500,13181929.73,0.137820574,0
1500,13182361.23,0.137877858,0
1500,13182793.52,0.137935214,0
1500,13183226.6,0.137992643,0
1500,13183660.49,0.138050144,0
1500,13184095.17,0.138107717,0
1500,13184530.64,0.138165361,0
1500,13184966.91,0.138223078,0
1500,13185403.99,0.138280867,0
1500,13185841.86,0.138338727,0
1500,13186280.53,0.138396659,0
1500,13186720,0.138454662,0
1500,13187160.27,0.138512736,0
1500,13187601.35,0.138570882,0
1500,13188043.22,0.138629099,0
1500,13188485.91,0.138687387,0
1500,13188929.39,0.138745746,0
1500,13189373.68,0.138804176,0
1500,13189818.78,0.138862676,0
1500,13190264.68,0.138921247,0
1500,13190711.39,0.138979888,0
1500,13191158.91,0.1390386,0
1500,13191607.24,0.139097382,0
1500,13192056.37,0.139156234,0
1500,13192506.32,0.139215157,0
1500,13192957.08,0.139274149,0
1500,13193408.64,0.139333211,0
1500,13193861.03,0.139392342,0
1500,13194314.22,0.139451543,0
1500,13194768.23,0.139510814,0
1500,13195223.05,0.139570154,0
1500,13195678.69,0.139629563,0
1500,13196135.14,0.139689041,0
1500,13196592.41,0.139748588,0
1500,13197050.5,0.139808204,0
1500,13197509.41,0.139867889,0
1500,13197969.13,0.139927642,0
1500,13198429.68,0.139987464,0
1500,13198891.05,0.140047354,0
1500,13199353.23,0.140107312,0
1500,13199816.24,0.140167338,0
1500,13200280.07,0.140227433,0
1500,13200744.73,0.140287595,0
1500,13201210.21,0.140347825,0
1500,13201676.51,0.140408122,0
1500,13202143.65,0.140468487,0
1500,13202611.6,0.140528919,0
1500,13203080.39,0.140589419,0
1500,13203550,0.140649985,0
1500,13204020.44,0.140710619,0
1500,13204491.71,0.140771319,0
1500,13204963.81,0.140832086,0
1500,13205436.74,0.14089292,0
1500,13205910.5,0.140953819,0
1500,13206385.1,0.141014786,0
1500,13206860.53,0.141075818,0
1500,13207336.79,0.141136916,0
1500,13207813.89,0.14119808,0
1500,13208291.82,0.14125931,0
1500,13208770.59,0.141320606,0
1500,13209250.2,0.141381966,0
1500,13209730.64,0.141443393,0
1500,13210211.92,0.141504884,0
1500,13210694.04,0.14156644,0
1500,13211177,0.141628062,0
1500,13211660.81,0.141689748,0
1500,13212145.45,0.141751498,0
1500,13212630.93,0.141813313,0
1500,13213117.26,0.141875193,0
1500,13213604.43,0.141937136,0
1500,13214092.45,0.141999144,0
1500,13214581.31,0.142061215,0
1500,13215071.02,0.142123351,0
1500,13215561.58,0.142185549,0
1500,13216052.98,0.142247811,0
1500,13216545.23,0.142310137,0
1500,13217038.33,0.142372525,0
1500,13217532.28,0.142434977,0
1500,13218027.08,0.142497491,0
1500,13218522.73,0.142560068,0
1500,13219019.23,0.142622708,0
1500,13219516.58,0.14268541,0
1500,13220014.79,0.142748174,0
1500,13220513.86,0.142811,0
1500,13221013.77,0.142873888,0
1500,13221514.55,0.142936838,0
1500,13222016.18,0.14299985,0
1500,13222518.67,0.143062922,0
1500,13223022.01,0.143126057,0
1500,13223526.22,0.143189252,0
1500,13224031.28,0.143252508,0
1500,13224537.21,0.143315825,0
1500,13225043.99,0.143379202,0
1500,13225551.64,0.143442641,0
1500,13226060.15,0.143506139,0
1500,13226569.52,0.143569697,0
1500,13227079.76,0.143633316,0
1500,13227590.86,0.143696994,0
1500,13228102.83,0.143760732,0
1500,13228615.67,0.143824529,0
1504.201681,13138368.78,0.139259523,0
1504.201681,13138803.58,0.139316804,0
1504.201681,13139239.17,0.139374155,0
1504.201681,13139675.56,0.139431578,0
1504.201681,13140112.75,0.139489072,0
1504.201681,13140550.74,0.139546637,0
1504.201681,13140989.53,0.139604272,0
1504.201681,13141429.13,0.139661978,0
1504.201681,13141869.53,0.139719755,0
1504.201681,13142310.73,0.139777602,0
1504.201681,13142752.74,0.139835519,0
1504.201681,13143195.55,0.139893507,0
1504.201681,13143639.17,0.139951564,0
1504.201681,13144083.59,0.140009692,0
1504.201681,13144528.82,0.14006789,0
1504.201681,13144974.86,0.140126157,0
1504.201681,13145421.71,0.140184494,0
1504.201681,13145869.37,0.1402429,0
1504.201681,13146317.83,0.140301376,0
1504.201681,13146767.11,0.140359921,0
1504.201681,13147217.2,0.140418536,0
1504.201681,13147668.11,0.140477219,0
1504.201681,13148119.82,0.140535971,0
1504.201681,13148572.35,0.140594792,0
1504.201681,13149025.7,0.140653682,0
1504.201681,13149479.86,0.14071264,0
1504.201681,13149934.83,0.140771667,0
1504.201681,13150390.62,0.140830762,0
1504.201681,13150847.23,0.140889925,0
1504.201681,13151304.66,0.140949157,0
1504.201681,13151762.91,0.141008456,0
1504.201681,13152221.98,0.141067823,0
1504.201681,13152681.86,0.141127258,0
1504.201681,13153142.57,0.14118676,0
1504.201681,13153604.1,0.14124633,0
1504.201681,13154066.46,0.141305967,0
1504.201681,13154529.63,0.141365672,0
1504.201681,13154993.63,0.141425443,0
1504.201681,13155458.46,0.141485281,0
1504.201681,13155924.11,0.141545186,0
1504.201681,13156390.59,0.141605158,0
1504.201681,13156857.89,0.141665196,0
1504.201681,13157326.02,0.141725301,0
1504.201681,13157794.98,0.141785472,0
1504.201681,13158264.77,0.141845709,0
1504.201681,13158735.39,0.141906012,0
1504.201681,13159206.84,0.141966381,0
1504.201681,13159679.13,0.142026816,0
1504.201681,13160152.24,0.142087316,0
1504.201681,13160626.19,0.142147881,0
1504.201681,13161100.97,0.142208512,0
1504.201681,13161576.58,0.142269208,0
1504.201681,13162053.03,0.14232997,0
1504.201681,13162530.32,0.142390796,0
1504.201681,13163008.44,0.142451686,0
1504.201681,13163487.41,0.142512642,0
1504.201681,13163967.2,0.142573662,0
1504.201681,13164447.84,0.142634746,0
1504.201681,13164929.32,0.142695894,0
1504.201681,13165411.64,0.142757107,0
1504.201681,13165894.8,0.142818383,0
1504.201681,13166378.8,0.142879723,0
1504.201681,13166863.64,0.142941126,0
1504.201681,13167349.33,0.143002593,0
1504.201681,13167835.86,0.143064124,0
1504.201681,13168323.23,0.143125717,0
1504.201681,13168811.45,0.143187374,0
1504.201681,13169300.52,0.143249093,0
1504.201681,13169790.43,0.143310875,0
1504.201681,13170281.2,0.143372719,0
1504.201681,13170772.81,0.143434626,0
1504.201681,13171265.27,0.143496595,0
1504.201681,13171758.58,0.143558627,0
1504.201681,13172252.74,0.14362072,0
1504.201681,13172747.75,0.143682875,0
1504.201681,13173243.62,0.143745091,0
1504.201681,13173740.33,0.143807369,0
1504.201681,13174237.91,0.143869709,0
1504.201681,13174736.33,0.143932109,0
1504.201681,13175235.61,0.143994571,0
1504.201681,13175735.75,0.144057093,0
1504.201681,13176236.75,0.144119676,0
1504.201681,13176738.6,0.144182319,0
1504.201681,13177241.31,0.144245023,0
1504.201681,13177744.88,0.144307787,0
1504.201681,13178249.31,0.144370611,0
1504.201681,13178754.59,0.144433495,0
1504.201681,13179260.75,0.144496438,0
1504.201681,13179767.76,0.144559441,0
1504.201681,13180275.63,0.144622504,0
1504.201681,13180784.37,0.144685625,0
1504.201681,13181293.98,0.144748806,0
1504.201681,13181804.44,0.144812045,0
1504.201681,13182315.78,0.144875343,0
1504.201681,13182827.98,0.1449387,0
1504.201681,13183341.04,0.145002115,0
1504.201681,13183854.98,0.145065588,0
1504.201681,13184369.78,0.145129119,0
1504.201681,13184885.46,0.145192708,0
1504.201681,13185402,0.145256354,0
1508.403361,13095043.42,0.140707028,0
1508.403361,13095481.52,0.140764294,0
1508.403361,13095920.43,0.14082163,0
1508.403361,13096360.14,0.140879036,0
1508.403361,13096800.65,0.140936511,0
1508.403361,13097241.97,0.140994056,0
1508.403361,13097684.1,0.141051671,0
1508.403361,13098127.03,0.141109354,0
1508.403361,13098570.77,0.141167108,0
1508.403361,13099015.32,0.14122493,0
1508.403361,13099460.67,0.141282821,0
1508.403361,13099906.84,0.141340782,0
1508.403361,13100353.81,0.141398811,0
1508.403361,13100801.6,0.141456909,0
1508.403361,13101250.2,0.141515075,0
1508.403361,13101699.61,0.14157331,0
1508.403361,13102149.84,0.141631613,0
1508.403361,13102600.88,0.141689984,0
1508.403361,13103052.73,0.141748424,0
1508.403361,13103505.4,0.141806931,0
1508.403361,13103958.88,0.141865506,0
1508.403361,13104413.19,0.141924149,0
1508.403361,13104868.31,0.14198286,0
